Genes,PN_VT_WT_acj6_B24,PN_VT_WT_acj6_C24,PN_VT_WT_acj6_D24,PN_VT_WT_acj6_E24,PN_VT_WT_acj6_F24,PN_VT_WT_acj6_G24
FBgn0000146,249,131,70,123,50,88
FBgn0000147,214,298,300,444,234,76
FBgn0000150,7265,12769,10418,14785,10494,13232
FBgn0000152,82,162,305,331,323,1132
FBgn0000153,0,41,18,3,2,0
FBgn0000157,228,49,37,59,81,106
FBgn0000158,0,0,0,0,0,0
FBgn0000163,47,346,77,71,167,73
FBgn0000166,13,0,0,0,0,0
FBgn0000173,3639,5750,4377,6420,4515,5907
FBgn0000179,112,395,350,161,475,247
FBgn0000180,4020,8190,4610,5142,6755,6328
FBgn0000181,4551,5992,4252,7375,4445,7047
FBgn0000182,0,0,0,9,0,0
FBgn0000183,1629,1438,1668,2389,1961,1610
FBgn0000206,5,1,0,4,1,23
FBgn0000212,2523,2892,1903,2003,2221,2242
FBgn0000216,0,0,0,0,0,0
FBgn0000221,420,570,226,272,521,404
FBgn0000227,0,79,0,2,0,0
FBgn0000228,375,265,129,159,334,173
FBgn0000229,12296,14897,10562,13428,10065,13038
FBgn0000233,26,78,0,97,91,152
FBgn0000239,1358,2001,952,1545,1146,1422
FBgn0000241,124,157,16,182,316,548
FBgn0000244,32,15,94,68,17,18
FBgn0000246,23,4,19,26,26,139
FBgn0000247,3688,6210,3217,9243,6269,7843
FBgn0000250,1665,1217,1183,1669,1745,1500
FBgn0000251,0,4,1,28,123,1
FBgn0000253,26368,35654,27727,28655,22610,32845
FBgn0000256,143,278,114,423,287,380
FBgn0000257,1229,2047,708,1469,787,1026
FBgn0000259,11435,13806,11519,17108,12865,15907
FBgn0000261,1280,1757,1236,3557,1889,2265
FBgn0000273,10199,10330,7245,7512,5971,6587
FBgn0000274,0,0,1,0,1,0
FBgn0000276,0,0,0,0,1,0
FBgn0000277,0,0,0,0,0,0
FBgn0000278,0,0,0,0,1,0
FBgn0000279,0,0,0,0,0,0
FBgn0000280,0,0,0,0,0,0
FBgn0000281,0,0,0,0,0,0
FBgn0000283,1093,1212,828,878,474,371
FBgn0000286,742,747,351,664,495,450
FBgn0000287,2371,2848,2150,3088,2862,3276
FBgn0000289,16810,19759,13260,20901,13570,17764
FBgn0000299,232,124,76,731,105,153
FBgn0000303,2086,2027,1679,2996,1502,3155
FBgn0000307,811,1206,562,1328,973,1386
FBgn0000308,61288,82586,58142,69218,55833,69143
FBgn0000316,1296,1631,1128,1237,1092,1473
FBgn0000317,8,767,40,17,28,2
FBgn0000318,2554,4135,3271,4536,3486,4827
FBgn0000319,2370,3255,1540,3568,2881,3016
FBgn0000320,12,43,2,0,3,15
FBgn0000326,1493,1819,1189,1912,2105,1219
FBgn0000330,2132,3099,2082,2303,3113,1821
FBgn0000337,0,0,0,0,0,3
FBgn0000339,3042,4199,3178,4588,3241,4764
FBgn0000346,330,411,265,698,499,278
FBgn0000351,116,119,0,14,39,196
FBgn0000352,1972,1787,1172,4048,4014,3559
FBgn0000355,0,0,0,0,1,0
FBgn0000356,0,0,0,0,0,0
FBgn0000357,0,0,4,5,21,15
FBgn0000358,0,0,0,0,0,0
FBgn0000359,0,0,0,0,1,0
FBgn0000360,58,144,307,330,2,375
FBgn0000370,8013,8264,6372,8414,7490,8699
FBgn0000376,709,1656,462,2160,706,1374
FBgn0000377,721,709,421,461,595,599
FBgn0000382,1449,2026,1118,2506,1136,2577
FBgn0000384,1228,998,663,1633,1575,2478
FBgn0000392,0,0,0,0,0,0
FBgn0000394,4,10,3,5,3,5
FBgn0000395,754,727,551,1406,1142,2644
FBgn0000404,487,455,375,525,317,515
FBgn0000405,7,17,4,0,2,12
FBgn0000406,0,0,0,0,0,1
FBgn0000409,6350,9607,8589,9831,6605,8888
FBgn0000411,1160,1523,1451,1650,2652,4963
FBgn0000412,12556,14440,11190,15457,13104,15115
FBgn0000414,4059,6360,3526,7259,6719,7705
FBgn0000416,12474,10617,8438,17406,8818,12340
FBgn0000422,676,1091,685,923,354,458
FBgn0000426,1223,2069,1598,2391,1595,1922
FBgn0000427,21,0,2,515,24,5
FBgn0000439,0,1,2,0,9,35
FBgn0000442,0,0,0,10,0,9
FBgn0000447,2062,2763,2413,2646,2237,2231
FBgn0000448,3004,3824,2931,1201,1068,1183
FBgn0000449,3,5,0,0,42,2
FBgn0000451,27,67,71,10,170,414
FBgn0000454,15616,19838,12356,22752,20067,21472
FBgn0000455,1609,1232,1681,2390,1565,1860
FBgn0000459,47,48,42,71,33,147
FBgn0000463,76,22,10,19,54,66
FBgn0000464,1623,2646,1997,2579,1483,2076
FBgn0000473,288,1113,516,721,826,420
FBgn0000477,98,301,133,201,305,268
FBgn0000479,11055,12964,9024,18220,13629,18415
FBgn0000482,694,691,342,456,295,513
FBgn0000489,1112,1559,1200,1917,1395,1570
FBgn0000490,2,10,12,5,35,45
FBgn0000492,103,45,21,19,204,51
FBgn0000497,13,9,13,20,7,92
FBgn0000499,48,118,50,113,283,126
FBgn0000500,64,70,71,57,261,159
FBgn0000504,19,20,8,2,6,6
FBgn0000520,1655,2669,1391,1696,1260,1801
FBgn0000524,368,557,661,1404,2065,1381
FBgn0000527,55,26,0,7,1,59
FBgn0000529,6,21,37,78,66,94
FBgn0000533,400,387,319,258,255,460
FBgn0000535,634,978,367,704,818,512
FBgn0000536,1746,1930,1256,1726,1632,1500
FBgn0000541,1163,1116,1191,1123,771,764
FBgn0000542,28,32,8,14,22,34
FBgn0000543,2422,2585,1983,3949,1726,2050
FBgn0000546,4453,4980,3608,6257,5605,6299
FBgn0000547,555,732,1174,885,637,750
FBgn0000551,22,107,29,0,0,0
FBgn0000552,11,35,40,0,0,2
FBgn0000556,12890,15917,9802,10986,9810,12310
FBgn0000557,175993,205367,121033,242363,213432,273765
FBgn0000559,36919,40987,25527,38765,40915,46018
FBgn0000560,0,58,0,9,0,44
FBgn0000562,630,406,386,305,347,1028
FBgn0000564,61,171,68,174,50,31
FBgn0000565,883,1060,961,996,815,936
FBgn0000566,2880,4751,3439,5253,4563,4650
FBgn0000567,210,438,256,315,380,416
FBgn0000568,10308,10733,8183,16989,12842,14829
FBgn0000575,9722,11269,6997,6867,6150,7735
FBgn0000576,1,17,82,0,4,1
FBgn0000577,6,274,0,2,3,32
FBgn0000578,3031,3917,2690,3363,2523,3726
FBgn0000579,18689,21997,14003,20281,16664,22103
FBgn0000581,1537,1505,1278,1644,2361,2435
FBgn0000588,0,1,1,128,2,112
FBgn0000591,9,0,0,3,0,0
FBgn0000592,0,0,0,1,4,0
FBgn0000594,3,5,6,2,3,11
FBgn0000606,8,0,2,65,7,189
FBgn0000611,1798,2335,2043,5130,3379,3786
FBgn0000615,7,6,1,50,0,0
FBgn0000617,865,996,826,809,912,996
FBgn0000618,703,1118,789,1202,955,1061
FBgn0000625,7,6,29,13,6,9
FBgn0000629,1579,1863,1209,1219,1899,2214
FBgn0000633,2725,3211,2924,6804,4864,5713
FBgn0000635,4487,4546,3618,6246,4434,4336
FBgn0000636,4444,4859,3662,7015,5790,7992
FBgn0000639,1,3,48,0,216,55
FBgn0000640,0,46,44,6,199,87
FBgn0000644,115,81,49,235,167,153
FBgn0000658,117,94,3,12,4,35
FBgn0000659,193,125,226,462,135,63
FBgn0000662,10327,8107,6580,10370,9387,9545
FBgn0000667,299,854,336,503,332,683
FBgn0000709,479,191,31,876,224,670
FBgn0000711,1020,1635,955,1406,717,1257
FBgn0000715,65,34,0,2,12,0
FBgn0000719,55,100,34,53,25,16
FBgn0000721,20,13,63,3,2,17
FBgn0000723,980,687,476,835,1032,1227
FBgn0000808,26,15,27,34,25,194
FBgn0000810,55,221,116,52,181,723
FBgn0000826,45,62,37,59,29,52
FBgn0000927,0,0,0,0,0,1
FBgn0000928,24,177,5,0,3,0
FBgn0000964,210,91,140,555,17,0
FBgn0000996,301,44,156,187,173,42
FBgn0001075,141,19,105,60,48,42
FBgn0001077,0,0,1,1,0,0
FBgn0001078,20,75,45,45,119,55
FBgn0001079,1638,1227,331,980,1134,1096
FBgn0001083,1,0,0,1,14,3
FBgn0001084,390,570,250,501,213,309
FBgn0001085,741,1125,734,1084,1210,1283
FBgn0001086,608,533,319,866,363,163
FBgn0001087,1053,1074,601,1032,1021,917
FBgn0001089,0,22,73,2,70,4
FBgn0001090,4568,7644,5122,4298,3479,4320
FBgn0001091,19536,29305,21450,26339,21693,30450
FBgn0001092,36877,47980,37952,39441,29896,38639
FBgn0001098,37509,44234,26339,36316,36268,38348
FBgn0001099,152,231,120,204,107,240
FBgn0001104,350,500,241,277,273,442
FBgn0001105,66916,80985,57526,69335,61700,72902
FBgn0001108,207,196,176,906,80,610
FBgn0001112,21,71,28,2,3,19
FBgn0001114,147,61,66,193,660,230
FBgn0001120,0,1,0,0,0,2
FBgn0001122,13418,14041,8891,19665,15573,14567
FBgn0001123,2534,3122,1662,2097,1638,2479
FBgn0001124,5038,7382,5294,5188,5193,4971
FBgn0001125,1411,1495,753,1036,1032,1363
FBgn0001128,1209,1051,794,1172,1011,1416
FBgn0001133,1337,1803,878,1791,996,957
FBgn0001134,0,9,0,0,0,5
FBgn0001137,377,569,520,149,259,343
FBgn0001138,27,8,9,0,16,16
FBgn0001139,1384,1589,978,1911,1541,2144
FBgn0001142,4382,4891,3196,5328,4422,4616
FBgn0001145,3899,6351,4208,4437,4782,4466
FBgn0001147,9,18,0,24,25,43
FBgn0001148,1,38,2,18,292,2
FBgn0001149,4839,8300,6646,5784,6568,6235
FBgn0001150,79,60,181,241,202,294
FBgn0001168,27,64,60,27,24,61
FBgn0001169,346,566,444,847,535,387
FBgn0001170,0,0,0,0,2,0
FBgn0001174,0,0,0,0,0,2
FBgn0001179,1250,1195,1059,1200,1508,1889
FBgn0001180,985,349,1378,4105,1623,3807
FBgn0001185,2020,1667,1489,2129,2025,2470
FBgn0001186,815,979,595,1600,869,1056
FBgn0001187,0,0,52,113,74,20
FBgn0001189,183,156,50,286,85,240
FBgn0001197,9856,13758,11350,11874,7800,10867
FBgn0001202,1597,1539,1179,980,952,1410
FBgn0001206,526,297,262,513,413,957
FBgn0001208,183,127,50,344,278,224
FBgn0001215,11436,13436,8998,13301,9705,13894
FBgn0001216,19,8,7,38,10,4
FBgn0001217,0,0,10,0,0,159
FBgn0001218,55971,61778,42511,65510,58294,64184
FBgn0001220,8133,8853,7318,14575,14047,16077
FBgn0001222,3963,4609,2160,5241,7584,5143
FBgn0001223,0,0,0,0,0,0
FBgn0001224,57231,78867,62405,98839,62362,92703
FBgn0001225,94440,137819,112675,95597,72258,97511
FBgn0001226,29464,42995,31180,45028,38705,43976
FBgn0001227,15308,16620,12910,18858,13798,19916
FBgn0001228,4,3,33,15,8,11
FBgn0001229,176198,264442,199603,256811,219773,281966
FBgn0001230,2001,2541,1586,4280,3001,4294
FBgn0001233,176634,182859,125633,214427,210968,232214
FBgn0001234,283272,353403,240168,295385,156603,238419
FBgn0001235,25397,31948,24154,48747,33434,48944
FBgn0001247,2011,2490,1323,3089,2906,3189
