,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
6624,CG32104,FBgn0052104,1.492919925,2.15627457,4.047655636,1.900206255,4.69567111,3.091037038
6625,CG32105,FBgn0052105,1.848366706,2.593449766,2.343834463,1.226240517,2.623634535,1.545085764
6626,CG32109,FBgn0052109,6.599867477,6.666008944,6.332114351,6.376529995,5.734683836,6.726811489
6627,CR32111,FBgn0052111,5.080630422,4.85506117,4.694271424,4.536629769,5.447681396,5.522723694
6628,CG32112,FBgn0052112,3.197991968,3.428777235,3.618159051,2.882869656,3.513617684,2.142127849
6629,CG32113,FBgn0052113,4.462328891,4.338810159,4.236142835,4.571183895,5.73650905,4.872861321
6630,Ptip,FBgn0052133,5.415077214,5.498190943,5.491547797,5.887251599,6.290792002,6.930973872
6631,CG32137,FBgn0052137,2.085524565,1.377455852,1.037109421,1.879346926,0.963376834,1.327824257
6632,CG32150,FBgn0052150,0.740547525,1.004631541,0.32908921,-2.164078573,-0.654333047,1.179799296
6633,CG32163,FBgn0052163,4.038488907,4.330752799,4.369883921,4.468431019,3.227277924,4.199036623
6634,CG32174,FBgn0052174,1.436882486,1.083471736,1.361454885,1.88981429,1.31565334,0.975461583
6635,CG32176,FBgn0052176,4.638285438,4.839528647,4.809310582,4.231805958,4.775958013,3.866544775
6636,Ndfip,FBgn0052177,6.34084077,6.127370464,5.978589745,6.404630888,6.133455012,6.229225862
6637,Krn,FBgn0052179,-0.363569895,3.47703065,3.294555709,1.879346926,3.379877585,1.389033562
6638,Ccn,FBgn0052183,5.240574437,5.400530673,4.942233623,5.062485136,5.149196536,5.024021339
6639,CG32187,FBgn0052187,5.613489813,5.974153194,5.182503879,5.691742463,5.299986313,5.35836712
6640,NUCB1,FBgn0052190,10.31560434,10.11330333,10.06508386,9.854772146,10.1196328,10.07921424
6641,CG32191,FBgn0052191,4.280585103,4.460114166,4.192849546,3.426499261,3.632088227,4.057745342
6642,CG32195,FBgn0052195,1.971813317,0.688839504,0.185024499,-1.485694758,1.598571053,1.571730664
6643,CG32196,FBgn0052196,0.469747574,0.349241716,0.889971067,0.431163936,0.938220586,-0.232538709
6644,CG32202,FBgn0052202,3.449984415,3.658584252,3.636740705,4.173026136,3.147211663,3.898470372
6645,CG32204,FBgn0052204,4.212680439,4.553083428,3.726220086,3.633751062,2.766256883,3.292694764
6646,CG32206,FBgn0052206,5.276938497,6.065596079,4.847700257,5.829291632,6.470424943,5.408191694
6647,CR32218,FBgn0052218,1.804753413,1.158225816,1.092005171,1.36775061,0.805406244,2.059819206
6648,Csas,FBgn0052220,1.165233542,1.139897284,1.338936105,2.009834385,2.575500349,1.447751289
6649,CG32221,FBgn0052221,5.338131476,5.683599304,5.568571586,5.028546852,5.715378371,5.540537132
6650,CG32225,FBgn0052225,6.419454378,6.142409433,6.166153724,5.920176111,5.93315571,5.699999246
6651,Pex23,FBgn0052226,1.904539677,1.686137261,1.733588153,1.930940431,1.630331982,1.685893763
6652,gogo,FBgn0052227,4.407498264,3.491558906,4.269270399,5.008274376,4.062873557,4.101832864
6653,ND-MLRQ,FBgn0052230,5.757704639,6.18157673,6.466727835,6.495248116,6.214267296,6.281613076
6654,CG32243,FBgn0052243,6.91862943,6.948313377,7.28813664,6.899822933,6.423043382,7.007684523
6655,PMP34,FBgn0052250,7.93078008,7.898211592,8.037309178,7.806685483,8.098656648,7.870674249
6656,Claspin,FBgn0052251,-2.052317812,2.383590285,1.269190737,1.781557497,1.862004611,-2.333703317
6657,CR32252,FBgn0052252,-3.349234113,-3.465032015,2.309501382,0.668513508,-1.451155987,2.69019493
6658,CG32262,FBgn0052262,3.704543476,2.48145593,2.996661051,3.422899977,3.791582064,3.572123973
6659,CG32264,FBgn0052264,7.137318282,6.923079266,6.898292823,7.043277646,7.14592044,7.099243811
6660,CG32267,FBgn0052267,4.426807044,4.592367767,5.180922094,5.143447493,4.459720777,5.003372773
6661,CG32278,FBgn0052278,7.162372979,7.233762022,7.347859253,7.225544053,6.903060248,7.339137879
6662,CG32280,FBgn0052280,3.037689454,2.573102472,3.073691186,2.807580181,2.815440242,3.044236794
6663,CG32281,FBgn0052281,3.545820576,3.123002368,1.338936105,2.644078267,4.133837635,3.575419352
6664,Mrtf,FBgn0052296,4.885097009,5.334571423,4.36431976,5.928449824,5.478545877,6.46246457
6665,zormin,FBgn0052311,1.848366706,1.483013624,0.185024499,2.824047693,2.909045702,2.150989989
6666,CG32333,FBgn0052333,5.219968972,4.976229943,5.535533218,5.410244388,5.355674668,5.410961149
6667,Atac3,FBgn0052343,5.387009407,5.77773576,5.84813126,4.998634914,5.504485565,5.482917758
6668,CG32344,FBgn0052344,4.378041726,4.454563298,3.893941794,2.988913077,3.870166473,3.866544775
6669,Vps11,FBgn0052350,2.776845332,2.545518504,2.137501208,-0.397956758,-1.323973224,1.197016746
6670,CG32354,FBgn0052354,3.572072379,4.360738639,3.777359513,3.970962141,4.90815127,4.429556887
6671,CG32368,FBgn0052368,1.511125598,1.723542612,2.693612247,1.758896045,1.582424475,2.459972418
6672,CG32369,FBgn0052369,5.083674902,3.495168225,4.809310582,5.982631313,4.351930012,5.282769474
6673,SMSr,FBgn0052380,6.263747897,6.36831468,6.719168055,6.866093895,6.604891716,6.675143688
6674,CG32392,FBgn0052392,5.317589891,5.849986228,6.219518337,5.557848286,5.240776346,5.728401237
6675,CG32396,FBgn0052396,2.410498217,1.044590127,2.534261779,2.807580181,1.012410435,-2.796085193
6676,PVRAP,FBgn0052406,5.564207722,5.23878774,5.468393537,5.468144198,5.383897973,4.933184894
6677,CG32407,FBgn0052407,2.476842757,2.817559383,2.274331286,2.357767564,3.00907726,2.059819206
6678,CG32409,FBgn0052409,4.409926041,5.207227524,4.883150661,4.450865419,4.180173492,4.561704689
6679,QC,FBgn0052412,1.529104391,2.874095425,1.144888436,-0.252735427,1.952728618,1.447751289
6680,vito,FBgn0052418,2.806631783,2.912392418,3.627479794,2.431267175,2.947374893,2.379310347
6681,shep,FBgn0052423,10.10952534,10.1144038,10.13230629,10.14511466,9.71452422,9.983312311
6682,CG32425,FBgn0052425,5.600795029,6.417647121,5.62317315,6.240018304,5.849609468,6.218726974
6683,CG32428,FBgn0052428,7.950718008,8.086735666,8.148922048,8.01287559,8.18138634,7.968383666
6684,CG32432,FBgn0052432,6.697497069,5.857016186,5.023910471,5.977733197,5.619727864,5.691672169
6685,SMC5,FBgn0052438,2.429767155,3.123002368,0.858652928,1.158597993,1.012410435,2.767143141
